instrument,datetime,score,label
SH600900,2020-06-18,0.16945939,0.0445199
SH600919,2020-06-18,0.06682865,0.0015313625
SH600926,2020-06-18,0.21451762,-0.019864082
SH600928,2020-06-18,0.14937307,0.0
SH600958,2020-06-18,0.019800823,-0.000993073
SH600968,2020-06-18,0.09083803,-0.025210083
SH600977,2020-06-18,0.050994597,-0.005135834
SH600989,2020-06-18,-0.010920081,-0.03687632
SH600998,2020-06-18,0.13304129,0.024704576
SH600999,2020-06-18,0.10306604,0.15725517
SH601006,2020-06-18,0.16079198,-0.018138826
SH601009,2020-06-18,0.08972405,-0.012286782
SH601012,2020-06-18,0.05416597,0.18704212
SH601018,2020-06-18,0.091727555,0.009546518
SH601021,2020-06-18,0.09332937,-0.06887925
SH601066,2020-06-18,-0.023493234,0.01705587
SH601088,2020-06-18,0.18620294,-0.038235307
SH601108,2020-06-18,-0.14177398,-0.03910619
SH601111,2020-06-18,-0.08840783,-0.02352941
SH601117,2020-06-18,-0.06045195,-0.0223642
SH601138,2020-06-18,-0.06325464,0.060647845
SH601155,2020-06-18,0.0048740916,-0.047412872
SH601162,2020-06-18,-0.1941311,-0.061111033
SH601166,2020-06-18,0.15953769,0.001229763
SH601169,2020-06-18,0.210701,-0.0041766763
SH601186,2020-06-18,-0.15593751,-0.031398714
SH601198,2020-06-18,-0.084759206,-0.014964759
SH601211,2020-06-18,0.010629874,0.008629918
SH601212,2020-06-18,-0.19470643,-0.026819944
SH601216,2020-06-18,0.04919311,-0.0117614865
SH601225,2020-06-18,0.119422674,-0.017942607
SH601229,2020-06-18,0.3646359,-0.013475776
SH601236,2020-06-18,-0.18443434,-0.11003232
SH601238,2020-06-18,0.0691428,-0.011147559
SH601288,2020-06-18,0.28679147,0.0057252645
SH601298,2020-06-18,0.012117621,-0.042207778
SH601318,2020-06-18,0.14478222,-0.03280878
SH601319,2020-06-18,0.06619492,-0.009331226
SH601328,2020-06-18,0.11810438,-0.004219413
SH601336,2020-06-18,0.038551938,-0.03034681
SH601360,2020-06-18,-0.06089339,-0.024551213
SH601377,2020-06-18,-0.16433525,0.06467664
SH601390,2020-06-18,-0.09647745,-0.02675587
SH601398,2020-06-18,0.26469573,0.0086580515
SH601555,2020-06-18,-0.04660319,-0.022657096
SH601577,2020-06-18,0.27536172,-0.003685534
SH601600,2020-06-18,0.011530843,-0.02439022
SH601601,2020-06-18,-0.028785754,-0.030864239
SH601607,2020-06-18,-0.064555794,-0.005375147
SH601618,2020-06-18,0.12633024,-0.020689666
SH601628,2020-06-18,-0.043721,-0.03449297
SH601633,2020-06-18,-0.035990138,-0.040174127
SH601668,2020-06-18,-0.031267334,-0.031182766
SH601669,2020-06-18,-0.21934633,-0.023753047
SH601688,2020-06-18,0.18316658,-0.014446974
SH601698,2020-06-18,-0.026749302,-0.016384542
SH601727,2020-06-18,-0.2597911,-0.03253424
SH601766,2020-06-18,-0.22222374,-0.017518282
SH601788,2020-06-18,-0.04926404,0.2101649
SH601800,2020-06-18,0.007240113,-0.036045313
SH601808,2020-06-18,0.019539665,-0.048717976
SH601818,2020-06-18,0.14022371,-0.0055148005
SH601828,2020-06-18,0.15077557,-0.034843206
SH601838,2020-06-18,0.45199051,0.0
SH601857,2020-06-18,-0.03327598,-0.013864815
SH601877,2020-06-18,0.0838944,0.051366925
SH601878,2020-06-18,-0.075647205,-0.03835088
SH601881,2020-06-18,-0.036397953,0.07431185
SH601888,2020-06-18,0.12197454,0.0704875
SH601898,2020-06-18,-0.019040566,-0.030769229
SH601899,2020-06-18,-0.11509967,0.049382687
SH601901,2020-06-18,-0.08593124,-0.016415894
SH601919,2020-06-18,-0.009777058,-0.04301077
SH601933,2020-06-18,0.15580527,0.008477569
SH601939,2020-06-18,0.18632777,0.0
SH601985,2020-06-18,0.106899455,-0.011286676
SH601988,2020-06-18,0.21288808,0.0
SH601989,2020-06-18,-0.054154683,-0.008797646
SH601992,2020-06-18,-0.07343458,-0.029239714
SH601997,2020-06-18,0.18523976,-0.008826077
SH601998,2020-06-18,-0.030415375,0.034946203
SH603019,2020-06-18,-0.012254525,-0.037684143
SH603156,2020-06-18,0.054662716,-0.019107223
SH603160,2020-06-18,-0.11324544,0.059700727
SH603259,2020-06-18,0.16049863,0.087358356
SH603260,2020-06-18,-0.18272324,0.0444386
SH603288,2020-06-18,-0.09610663,0.044060946
SH603501,2020-06-18,-0.11172311,0.010272384
SH603799,2020-06-18,-0.37490973,-0.028077424
SH603833,2020-06-18,0.14481236,-0.021398485
SH603899,2020-06-18,-0.077711985,-0.0021371245
SH603986,2020-06-18,-0.077996835,0.033061028
SH603993,2020-06-18,-0.33888403,-0.03377855
SZ000001,2020-06-18,0.043088805,0.0
SZ000002,2020-06-18,-0.15506855,-0.0011554956
SZ000063,2020-06-18,-0.19952732,-0.08560753
SZ000069,2020-06-18,-0.012862105,-0.011441529
SZ000100,2020-06-18,-0.14247622,0.0015400648
SZ000157,2020-06-18,-0.047872428,-0.034207165
SZ000166,2020-06-18,0.16297573,0.047112465
SZ000333,2020-06-18,0.32068512,0.0029962063
SZ000338,2020-06-18,0.028409433,-0.013867974
SZ000413,2020-06-18,-0.2325039,-0.033254087
SZ000415,2020-06-18,0.14031185,-0.039084375
SZ000423,2020-06-18,0.08335072,-0.006891668
SZ000425,2020-06-18,-0.21754684,-0.03304428
SZ000538,2020-06-18,0.061385464,0.024615765
SZ000568,2020-06-18,0.16155156,-0.010993242
SZ000596,2020-06-18,0.14581998,0.019584298
SZ000625,2020-06-18,0.2968891,-0.035244763
SZ000627,2020-06-18,0.058675107,-0.0114325285
SZ000629,2020-06-18,-0.18306774,-0.04299754
SZ000630,2020-06-18,0.009977456,0.005188346
SZ000651,2020-06-18,0.015699256,-0.04044825
SZ000656,2020-06-18,0.21434002,0.013910294
SZ000661,2020-06-18,-0.037700985,0.0922178
SZ000671,2020-06-18,0.09330954,-0.036372185
SZ000703,2020-06-18,0.11378084,-0.028670013
SZ000709,2020-06-18,-0.16578177,-0.046824276
SZ000723,2020-06-18,-0.11683707,-0.035681367
SZ000725,2020-06-18,-0.2553428,0.008968592
SZ000728,2020-06-18,-0.067660436,0.011041045
SZ000768,2020-06-18,-0.063376084,0.042140722
SZ000776,2020-06-18,0.0127984695,-0.0022280812
SZ000783,2020-06-18,0.00367878,-0.032481372
SZ000786,2020-06-18,-0.1591493,-0.011659563
SZ000858,2020-06-18,0.24227436,0.02526319
SZ000876,2020-06-18,-0.23111634,-0.0024026632
SZ000895,2020-06-18,0.1961868,0.082491994
SZ000898,2020-06-18,0.07930863,-0.041775525
SZ000938,2020-06-18,-0.43121675,-0.001427412
SZ000961,2020-06-18,0.031521987,0.041212916
SZ000963,2020-06-18,-0.2243637,0.049488425
SZ001979,2020-06-18,-0.1920932,-0.01728791
SZ002001,2020-06-18,-0.11365901,0.042026043
SZ002007,2020-06-18,0.015033383,0.04082632
SZ002008,2020-06-18,-0.2450297,0.025454044
SZ002010,2020-06-18,0.041462224,-0.03004831
SZ002024,2020-06-18,-0.05715369,-0.033146977
SZ002027,2020-06-18,0.049770977,0.044407725
SZ002032,2020-06-18,0.12554373,0.05245173
SZ002044,2020-06-18,-0.17265004,0.097221136
SZ002050,2020-06-18,0.15417804,0.018392086
SZ002081,2020-06-18,-0.023654494,-0.016406894
SZ002120,2020-06-18,0.24794717,-0.051902115
SZ002142,2020-06-18,0.041495126,0.030187964
SZ002146,2020-06-18,0.07925524,-0.0048945546
SZ002153,2020-06-18,0.072661,0.023325443
SZ002179,2020-06-18,-0.12534012,0.008129239
SZ002202,2020-06-18,0.21715488,-0.013733745
SZ002230,2020-06-18,-0.16313791,0.02783525
SZ002236,2020-06-18,-0.25955656,0.0058077574
SZ002241,2020-06-18,-0.09707087,0.003757596
